RC1_Adopted,RC2_Died,RC3_Residence_Order,RC4_Special_Guardianship_Order,RC5_Transfer_to_another_LA,RC6_Transfer_to_Adult_Social_Service,RC7_Other
49,17,21,58,64,35,2986
15,c,c,16,58,10,843
27,c,c,28,26,24,1045
c,c,8,37,43,0,1658
21,c,c,25,90,18,1715
25,c,0,0,41,25,2173
11,c,c,18,26,18,964
25,20,6,10,15,23,1673
14,c,c,30,34,13,929
38,c,c,20,24,c,908
12,c,c,23,58,18,1588
37,10,6,39,44,17,1443
21,c,c,19,49,15,1159
c,c,c,8,32,7,1520
23,c,c,23,54,17,3325
0,c,0,6,56,c,1565
c,c,0,18,28,15,1475
13,c,0,c,51,20,1617
8,c,0,c,18,7,1264
10,c,16,17,26,c,822
0,c,c,8,12,14,787
36,21,6,11,123,50,3839
24,c,c,27,81,23,1996
43,8,7,47,115,31,4683
26,13,c,c,68,16,4202
24,c,c,15,68,18,2882
c,c,c,13,113,16,1934
9,6,23,33,23,14,1957
22,13,c,11,39,c,1099
6,13,0,6,54,22,1995
25,c,7,50,66,c,1449
0,c,0,7,21,c,1231
11,11,c,27,35,6,1270
c,c,0,10,12,11,660
21,7,0,17,66,8,2783
8,9,6,25,63,11,1908
23,c,23,59,55,c,1551
47,21,c,80,218,29,5282
12,8,0,33,63,9,1373
13,c,11,47,44,c,1517
13,c,0,c,31,c,1634
54,c,22,43,47,c,2911
21,9,c,47,35,15,2862
51,7,c,30,57,c,2940
27,c,30,17,65,c,1371
11,0,c,16,28,c,650
c,6,c,15,101,33,3981
17,10,13,38,56,7,1437
26,7,11,55,28,14,4595
30,c,c,29,37,12,2054
8,c,c,9,48,7,609
32,c,c,23,53,14,2429
0,13,0,0,0,0,6574
10,8,c,14,48,7,1231
c,c,c,c,23,c,2481
38,c,c,66,143,36,4537
0,0,0,0,0,0,2216
23,c,c,20,74,17,1521
0,8,c,44,72,26,2833
c,0,0,c,6,c,90
0,0,0,0,0,0,2264
83,18,54,34,145,23,5983
52,c,0,c,68,17,2788
17,9,6,20,86,19,1864
0,c,0,c,0,0,1429
21,12,0,17,628,8,2406
18,c,0,0,24,18,1067
7,0,c,6,62,c,1598
39,c,22,c,146,59,3753
51,c,c,12,92,17,2335
30,c,0,23,46,14,1063
27,6,10,17,85,9,1063
12,6,6,29,38,18,2734
12,c,6,11,75,c,1634
29,c,c,25,77,41,2653
14,c,0,c,46,13,801
21,c,c,20,80,34,3083
13,c,c,15,52,8,913
40,7,10,29,126,10,2397
46,c,c,12,134,81,2658
15,c,c,21,98,13,1412
39,24,7,25,121,31,4634
15,c,c,7,89,9,1337
c,10,c,6,47,16,960
33,c,c,12,92,33,2746
7,c,0,c,69,11,1008
c,c,0,c,22,7,830
18,c,c,7,80,28,1917
11,c,c,15,185,20,3051
30,11,c,c,113,31,1864
u,u,u,u,u,u,u
7,c,0,0,c,0,1953
53,56,7,69,2283,123,13103
15,c,c,12,33,21,1980
16,c,c,19,99,41,1813
27,c,c,15,64,17,2237
11,c,c,6,63,15,2707
9,c,c,c,80,13,969
c,15,c,8,107,8,1325
29,c,c,26,67,18,2321
29,10,22,39,268,77,4352
c,c,0,c,27,c,1878
30,9,c,23,103,76,3068
15,c,c,c,37,c,1182
c,c,c,c,48,7,531
7,0,0,8,16,15,463
27,10,16,16,16,17,3113
11,7,7,24,28,7,1761
c,9,c,21,71,17,5224
35,c,c,45,70,18,2493
16,c,c,24,67,28,1441
36,18,c,25,74,c,3721
0,0,0,0,0,0,c
c,c,c,9,27,7,594
24,10,11,27,44,13,1349
31,7,0,28,37,10,1425
8,c,c,13,32,16,1110
25,6,0,0,65,26,1532
10,c,c,8,79,7,1195
20,14,c,c,55,73,1652
c,c,c,30,84,23,1187
0,0,0,0,11,0,10
c,c,0,31,121,49,1491
c,c,0,c,61,c,661
c,c,c,c,126,17,2257
c,6,c,6,42,10,1183
c,0,c,c,57,c,720
c,c,0,9,117,9,1533
15,c,c,33,225,18,1891
12,c,0,14,184,15,3428
7,c,c,11,99,21,1222
c,0,0,6,76,c,2347
c,0,0,9,c,0,1139
c,c,c,55,13,c,552
c,c,0,10,145,7,2092
c,c,0,17,112,11,1726
7,c,c,20,97,c,1614
0,c,c,c,118,6,2436
13,9,0,11,104,16,2142
c,13,c,21,283,41,3688
c,c,c,12,93,c,1291
7,c,c,15,236,56,2710
6,c,7,23,28,c,1086
c,c,0,c,120,17,1208
0,0,c,c,85,14,1392
14,c,c,c,222,25,1715
0,c,c,0,50,6,2306
c,c,0,c,67,10,690
c,c,c,c,113,c,974
c,c,0,14,181,29,2495
c,c,0,c,71,c,673
11,c,c,9,c,14,903
7,6,9,6,114,13,3458
53,12,33,49,59,33,3122
12,c,8,22,15,c,671
24,c,12,34,44,c,1319
c,0,c,17,18,10,1641
27,6,6,27,111,19,2660
36,11,0,0,34,23,1319
18,11,c,18,48,19,1325
25,c,c,16,28,22,1607
17,c,c,38,46,14,1055
20,11,13,22,31,29,929
15,c,c,26,46,28,1809
23,16,25,45,42,26,1757
22,c,c,27,50,18,1042
42,c,6,22,60,c,1349
38,c,c,33,60,9,3569
19,c,c,7,107,0,2096
12,c,0,13,69,20,1304
77,c,0,c,27,18,1440
34,c,0,20,49,c,1553
13,c,13,10,27,c,961
0,c,0,c,22,13,704
40,28,c,c,90,61,3605
27,c,c,36,79,20,2565
25,c,c,54,92,24,5323
26,8,0,9,99,24,3515
17,9,0,14,104,24,1903
